"Data Source","World Development Indicators",

"Last Updated Date","2021-10-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Bangladesh","BGD","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","8108053514.97237","12522859678.6342","19439919254.1685","10105296949.4949","9608855565.61086","13238224497.3545","15535719093.2983","18156941569.7674","20590758873.929","18847155688.6228","18122979797.9798","19452920000","22655346153.8462","22202166666.6667","24866935483.871","27184294207.0866","29418568376.6291","32234055489.7889","31618548375.3501","32478635867.374","34069217830.6878","34824471356.6085","39096763694.0298","47649633251.8337","49613348946.1358","51415660792.9515","52841410149.7504","55101749155.2375","55629781319.4959","56908044576.0056","62584110535.4059","67925445897.7408","72520666666.6667","75870230199.5235","84719837822.1836","98684113103.0462","110602682464.565","124617096900.553","138823234444.331","144641656947.692","162054146628.501","184407434331.997","207742686491.099","234168452310.22","260441066628.246","286535935296.739","316899147223.538","338933058607.445",
"Bulgaria","BGR","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","19525307692.3077","19672285714.2857","19187533333.3333","16484500000","17556333333.3333","17092578947.3684","20117823529.4118","27786846153.8462","22134941176.4706","21351666666.6667","18995909090.9091","9832580645.16129","10180773195.8763","10637028985.5072","9504964944.64945","18551491071.4286","11898154581.2254","10959092395.5051","14747201715.5192","13442625945.4753","12922427259.4546","14208398132.4667","16746346413.0958","21488783574.7677","26463400799.9492","29952788132.9013","33528741743.0899","41158999020.2939","51846800688.0562","50357249591.2419","49327498984.7029","55581822964.8063","53311098554.5335","54387804695.9826","56410350698.684","49066940603.0379","52129665723.9819","57538881590.3198","64150353047.6765","67445642243.8466","67448118627.2796",
"Bahrain","BHR","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","2864420270.62881","3440957446.80851","3634308510.6383","3746276595.74468","3793882978.7234","3281648936.17021","2655319148.93617","2995744414.89362","3271276595.74468","3503191489.3617","4451329787.23404","4807446808.51064","4783244680.85106","5006382978.7234","5325000265.95745","5790573404.25532","6076647606.38298","6113085372.34043","6021789095.74468","6350622872.34043","8839275265.95745","8654625797.87234","9068566223.40425","10581836436.1702","12575387234.0426","15556372074.4681","18119833244.6809","21431313829.7872","24787226861.7021","20538353191.4894","23340257978.7234","25012234042.5532","29741912500","31343603989.3617","31755112765.9574","29314738297.8723","30439494680.8511","33484122340.4255","35576436170.2128","36313430851.0638","",
"Bahamas, The","BHS","GNI (current US$)","NY.GNP.MKTP.CD","149607647.058824","167450784.313726","187058529.411765","209509509.803922","234999607.843137","264705882.352941","299509803.921569","343823529.411765","391960784.313725","465392156.862745","509458782.43513","542590600","559130400","634848200","662174500","819788700","566500000","629400000","704600000","1006200100","1200800000","1274600000","1446700000","1594300000","1876000000","2140099900","2288900000","2530699900","2651000000","2930400000","2993200000","2932160000","3026400000","2963600000","3121400000","3882158500","4421275600","6179760000","6635720000","7557070000","7936270000","8118930000","8696814900","8717670000","8913970000","9654135300","9949250000","10386740000","10466660000","9841640000","9888260000","9882330000","10609680000","10533630000","10673455700","11308170400","11488582400","12130014600","12339847200","13114074100","10816902726.9444",
"Bosnia and Herzegovina","BIH","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1090802469.1358","1624572953.73665","2564045321.63743","3443816504.23851","4925763027.78883","5413706644.88017","6096206688.64814","6281404511.347","7159190134.74495","8903153144.83554","11100740126.9841","11690938513.3846","13256503752.1647","16247627011.8964","19819000898.7418","18292151431.2096","17456458996.4109","18794698983.5809","17361522795.9532","18420849908.3565","18710290326.957","16322117380.2098","16936519427.6342","17928568053.4747","20063414001.207","20190230667.9641","19854234711.7065",
"Belarus","BLR","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21650000000","","","","17688000000","13423888888.8889","14725538461.5385","14024192307.6923","15171217391.3043","12110819277.1084","12681807531.3808","12305920143.8849","14543051367.9509","17841993174.0614","23143451851.8519","30159871402.0427","36854632634.0326","44904886300.0932","60280793539.3258","50064563909.7744","56107674051.6952","60375790753.7688","64182720882.8116","72802868130.6306","76354715375.5869","53957136255.1802","45508099165.6614","52644634114.7855","57886015606.596","62539904818.8163","57647179086.7355",
"Belize","BLZ","GNI (current US$)","NY.GNP.MKTP.CD","27930631.3873723","29755424.8915022","31701455.9708806","33587778.2444351","36023939.5212096","39860139.8601399","44195804.1958042","47172413.7931034","43353293.4131737","45628742.5149701","51497005.988024","56951219.5121951","63125000","74233128.8343558","92397660.8187135","105801104.972376","88520179.3721973","112050000","129500000","146500000","195988222.429283","194189854.656347","177306326.985709","186603185.955321","206681949.019381","202743742.664706","225438320.535567","274982558.5859","313893360.27245","359433890.704745","403986445.492176","435320750","503609700.714435","541655282.299335","555652936.370645","597851200.150545","615256255.32063","631241449.944045","656987962.18537","692591603.17635","779173364.652775","801309227.467205","857716821.508255","894097765.245365","934642426.48391","988138630.0365","1085321176.50843","1112645244.64669","1186161398.58457","1226664645.60202","1238677832.63841","1363597903.23406","1402697506.07849","1460211253.00514","1529535060.96064","1626550991.46912","1678504087.78561","1733329676.71857","1734299786.96407","1824218540.6134","1605121125.71739",
"Bermuda","BMU","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6780700000","6474269000","6661617000","6764352000","6657829000","6893729000","7095783000","7435279000","7459240000","7587978000","",
"Bolivia","BOL","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","","","","2700484007.996","3160336281.85907","3644320889.55522","4239043308.35371","4263816802.61011","5510556933.11582","5176790478.47958","5060640961.87886","5754601148.23129","5004377399.65434","3649839150.74542","4045923622.1622","4332815374.88371","4456878547.35084","4618982620.20708","5096273725.07401","5446192513.78028","5528777355.74781","5798744226.81528","6508618711.33054","7188766149.05608","7729174999.5242","8335344621.69471","8088875593.5586","8172380981.6447","7930377408.46691","7700785216.17852","7780518761.75057","8388731804.43548","9172726311.35245","11054624631.7839","12630742727.2264","16137947294.2542","16666184074.0741","18760697222.341","22977277526.3082","25455219536.903","28751567785.8177","31298228306.8017","31873100506.5123","33320230246.0203","36398995788.712","39311992850.9407","40056391416.7353","36171181928.3489",
"Brazil","BRA","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","25823978009.9173","29559163247.6664","33065704447.8652","36783720975.7678","41728566935.8317","48684157318.5706","58075347258.6067","78380807935.1819","104325590448.443","122016649141.279","150357935666.65","173253413561.887","196080790936.193","218945212519.056","227299903221.934","252659071917.96","267229261490.029","191446471082.959","197144720543.593","211063860366.741","256173867061.639","282955492984.36","317177371865.753","448509000000","449671800000","589350000000","393042375000","427140503105.59","537119760675.739","757859058515.855","827516902795.742","855019274582.56","825536162860.836","568078572215.793","636545739163.706","541210449579.117","490921176362.21","540601974260.643","649542563658.12","865855861197.831","1079922933664.32","1367409102922.29","1654242312302.32","1630132837501.25","2140639114483.86","2548973132352.94","2403681256873.69","2438446843189.09","2410227796260.09","1768302238329.98","1757603662733.08","2024930461457.34","1863643739320.33","1827512816466.85","1417068693062.22",
