Year,Année,ISO,Jurisdiction,Juridiction,Species group,"Groupe d'espèces",Tenure (En),Tenure (Fr),Volume (cubic metres) (En),Data qualifier,Volume (en mètre cube) (Fr),Qualificatifs de données
1990,1990,BC,British Columbia,Colombie-Britannique,Hardwoods,Feuillus,Federal land,Terres fédérales,,u,,u
1990,1990,BC,British Columbia,Colombie-Britannique,Softwoods,Résineux,Federal land,Terres fédérales,,u,,u
1990,1990,BC,British Columbia,Colombie-Britannique,Unspecified,Indéterminée,Federal land,Terres fédérales,,u,,u
1990,1990,BC,British Columbia,Colombie-Britannique,Unspecified,Indéterminée,Federal land,Terres fédérales,538000,E,538000,E
1990,1990,ON,Ontario,Ontario,Unspecified,Indéterminée,Private land,Terres privées,,u,,u
1990,1990,ON,Ontario,Ontario,Hardwoods,Feuillus,Federal land,Terres fédérales,,u,,u
1990,1990,ON,Ontario,Ontario,Softwoods,Résineux,Federal land,Terres fédérales,,u,,u
1990,1990,ON,Ontario,Ontario,Unspecified,Indéterminée,Federal land,Terres fédérales,,u,,u
1990,1990,ON,Ontario,Ontario,Unspecified,Indéterminée,Federal land,Terres fédérales,1090000,E,1090000,E
1990,1990,ON,Ontario,Ontario,Hardwoods,Feuillus,Private land,Terres privées,898000,E,898000,E
1990,1990,ON,Ontario,Ontario,Softwoods,Résineux,Private land,Terres privées,3227000,E,3227000,E
1990,1990,ON,Ontario,Ontario,Softwoods,Résineux,Provincial land,Terres provinciales,25483620,E,25483620,E
1990,1990,ON,Ontario,Ontario,Hardwoods,Feuillus,Provincial land,Terres provinciales,17984366,E,17984366,E
1991,1991,AB,Alberta,Alberta,Hardwoods,Feuillus,Private land,Terres privées,556000,E,556000,E
1991,1991,AB,Alberta,Alberta,Softwoods,Résineux,Private land,Terres privées,436000,E,436000,E
1991,1991,BC,British Columbia,Colombie-Britannique,Hardwoods,Feuillus,Private land,Terres privées,502961,E,502961,E
1991,1991,BC,British Columbia,Colombie-Britannique,Softwoods,Résineux,Private land,Terres privées,6176236,E,6176236,E
1991,1991,PE,Prince Edward Island,Île-du-Prince-Édouard,Softwoods,Résineux,Provincial land,Terres provinciales,25300,a,25300,a
1991,1991,PE,Prince Edward Island,Île-du-Prince-Édouard,Softwoods,Résineux,Private land,Terres privées,385000,a,385000,a
1991,1991,PE,Prince Edward Island,Île-du-Prince-Édouard,Hardwoods,Feuillus,Provincial land,Terres provinciales,12900,a,12900,a
1991,1991,PE,Prince Edward Island,Île-du-Prince-Édouard,Hardwoods,Feuillus,Private land,Terres privées,322000,a,322000,a
1991,1991,PE,Prince Edward Island,Île-du-Prince-Édouard,Unspecified,Indéterminée,Provincial land,Terres provinciales,,u,,u
1991,1991,PE,Prince Edward Island,Île-du-Prince-Édouard,Unspecified,Indéterminée,Private land,Terres privées,,u,,u
1991,1991,NS,Nova Scotia,Nouvelle-Écosse,Softwoods,Résineux,Provincial land,Terres provinciales,850000,a,850000,a
1991,1991,NS,Nova Scotia,Nouvelle-Écosse,Softwoods,Résineux,Private land,Terres privées,2900000,a,2900000,a
1991,1991,NS,Nova Scotia,Nouvelle-Écosse,Hardwoods,Feuillus,Provincial land,Terres provinciales,500000,a,500000,a
1991,1991,NS,Nova Scotia,Nouvelle-Écosse,Hardwoods,Feuillus,Private land,Terres privées,1000000,a,1000000,a
1991,1991,NS,Nova Scotia,Nouvelle-Écosse,Unspecified,Indéterminée,Provincial land,Terres provinciales,,u,,u
1991,1991,NS,Nova Scotia,Nouvelle-Écosse,Unspecified,Indéterminée,Private land,Terres privées,,u,,u
1991,1991,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Softwoods,Résineux,Provincial land,Terres provinciales,1175000,a,1175000,a
1991,1991,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Softwoods,Résineux,Private land,Terres privées,1835000,a,1835000,a
1991,1991,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Hardwoods,Feuillus,Provincial land,Terres provinciales,,u,,u
1991,1991,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Hardwoods,Feuillus,Private land,Terres privées,,u,,u
1991,1991,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Unspecified,Indéterminée,Provincial land,Terres provinciales,,u,,u
1991,1991,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Unspecified,Indéterminée,Private land,Terres privées,,u,,u
1991,1991,NB,New Brunswick,Nouveau-Brunswick,Softwoods,Résineux,Provincial land,Terres provinciales,4330615,a,4330615,a
1991,1991,NB,New Brunswick,Nouveau-Brunswick,Softwoods,Résineux,Private land,Terres privées,3594230,a,3594230,a
1991,1991,NB,New Brunswick,Nouveau-Brunswick,Hardwoods,Feuillus,Provincial land,Terres provinciales,1839360,a,1839360,a
1991,1991,NB,New Brunswick,Nouveau-Brunswick,Hardwoods,Feuillus,Private land,Terres privées,2102040,a,2102040,a
1991,1991,NB,New Brunswick,Nouveau-Brunswick,Unspecified,Indéterminée,Provincial land,Terres provinciales,,u,,u
1991,1991,NB,New Brunswick,Nouveau-Brunswick,Unspecified,Indéterminée,Private land,Terres privées,,u,,u
1991,1991,QC,Quebec,Québec,Softwoods,Résineux,Provincial land,Terres provinciales,31095500,a,31095500,a
1991,1991,QC,Quebec,Québec,Softwoods,Résineux,Private land,Terres privées,5336100,a,5336100,a
1991,1991,QC,Quebec,Québec,Hardwoods,Feuillus,Provincial land,Terres provinciales,11292100,a,11292100,a
1991,1991,QC,Quebec,Québec,Hardwoods,Feuillus,Private land,Terres privées,8183200,a,8183200,a
1991,1991,QC,Quebec,Québec,Unspecified,Indéterminée,Provincial land,Terres provinciales,,u,,u
1991,1991,QC,Quebec,Québec,Unspecified,Indéterminée,Private land,Terres privées,,u,,u
1991,1991,MB,Manitoba,Manitoba,Softwoods,Résineux,Provincial land,Terres provinciales,5946200,a,5946200,a
1991,1991,MB,Manitoba,Manitoba,Softwoods,Résineux,Private land,Terres privées,40270,a,40270,a
1991,1991,MB,Manitoba,Manitoba,Hardwoods,Feuillus,Provincial land,Terres provinciales,2311190,a,2311190,a
1991,1991,MB,Manitoba,Manitoba,Hardwoods,Feuillus,Private land,Terres privées,564300,a,564300,a
1991,1991,MB,Manitoba,Manitoba,Unspecified,Indéterminée,Provincial land,Terres provinciales,,u,,u
1991,1991,MB,Manitoba,Manitoba,Unspecified,Indéterminée,Private land,Terres privées,,u,,u
1991,1991,YT,Yukon,Yukon,Softwoods,Résineux,Provincial land,Terres provinciales,,u,,u
1991,1991,YT,Yukon,Yukon,Softwoods,Résineux,Private land,Terres privées,,u,,u
1991,1991,YT,Yukon,Yukon,Hardwoods,Feuillus,Provincial land,Terres provinciales,,u,,u
1991,1991,YT,Yukon,Yukon,Hardwoods,Feuillus,Private land,Terres privées,,u,,u
1991,1991,YT,Yukon,Yukon,Unspecified,Indéterminée,Provincial land,Terres provinciales,,u,,u
1991,1991,YT,Yukon,Yukon,Unspecified,Indéterminée,Private land,Terres privées,,u,,u
1991,1991,SK,Saskatchewan,Saskatchewan,Softwoods,Résineux,Provincial land,Terres provinciales,3636000,r,3636000,r
1991,1991,SK,Saskatchewan,Saskatchewan,Softwoods,Résineux,Private land,Terres privées,80000,e,80000,e
1991,1991,SK,Saskatchewan,Saskatchewan,Hardwoods,Feuillus,Provincial land,Terres provinciales,3009000,r,3009000,r
1991,1991,SK,Saskatchewan,Saskatchewan,Hardwoods,Feuillus,Private land,Terres privées,200000,e,200000,e
1991,1991,SK,Saskatchewan,Saskatchewan,Unspecified,Indéterminée,Provincial land,Terres provinciales,0,r,0,r
1991,1991,SK,Saskatchewan,Saskatchewan,Unspecified,Indéterminée,Private land,Terres privées,0,e,0,e
1991,1991,NT,Northwest Territories,Territoires du Nord-Ouest,Softwoods,Résineux,Provincial land,Terres provinciales,,n,,n
1991,1991,NT,Northwest Territories,Territoires du Nord-Ouest,Softwoods,Résineux,Private land,Terres privées,,n,,n
1991,1991,NT,Northwest Territories,Territoires du Nord-Ouest,Hardwoods,Feuillus,Provincial land,Terres provinciales,,n,,n
1991,1991,NT,Northwest Territories,Territoires du Nord-Ouest,Hardwoods,Feuillus,Private land,Terres privées,,n,,n
1991,1991,NT,Northwest Territories,Territoires du Nord-Ouest,Unspecified,Indéterminée,Provincial land,Terres provinciales,,u,,u
1991,1991,NT,Northwest Territories,Territoires du Nord-Ouest,Unspecified,Indéterminée,Private land,Terres privées,,u,,u
1991,1991,GC,Canada,Canada,Hardwoods,Feuillus,Federal land,Terres fédérales,,u,,u
1991,1991,GC,Canada,Canada,Softwoods,Résineux,Federal land,Terres fédérales,,u,,u
1991,1991,GC,Canada,Canada,Unspecified,Indéterminée,Federal land,Terres fédérales,3803400,E,3803400,E
1991,1991,MB,Manitoba,Manitoba,Hardwoods,Feuillus,Federal land,Terres fédérales,,u,,u
1991,1991,MB,Manitoba,Manitoba,Softwoods,Résineux,Federal land,Terres fédérales,,u,,u
1991,1991,MB,Manitoba,Manitoba,Unspecified,Indéterminée,Federal land,Terres fédérales,,u,,u
1991,1991,MB,Manitoba,Manitoba,Unspecified,Indéterminée,Federal land,Terres fédérales,86000,E,86000,E
1991,1991,NB,New Brunswick,Nouveau-Brunswick,Hardwoods,Feuillus,Federal land,Terres fédérales,,u,,u
1991,1991,NB,New Brunswick,Nouveau-Brunswick,Softwoods,Résineux,Federal land,Terres fédérales,,u,,u
1991,1991,NB,New Brunswick,Nouveau-Brunswick,Unspecified,Indéterminée,Federal land,Terres fédérales,,u,,u
1991,1991,NB,New Brunswick,Nouveau-Brunswick,Unspecified,Indéterminée,Federal land,Terres fédérales,186000,E,186000,E
1991,1991,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Hardwoods,Feuillus,Federal land,Terres fédérales,,u,,u
1991,1991,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Softwoods,Résineux,Federal land,Terres fédérales,,u,,u
1991,1991,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Unspecified,Indéterminée,Federal land,Terres fédérales,,u,,u
1991,1991,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Unspecified,Indéterminée,Federal land,Terres fédérales,7300,E,7300,E
1991,1991,NS,Nova Scotia,Nouvelle-Écosse,Hardwoods,Feuillus,Federal land,Terres fédérales,,u,,u
1991,1991,NS,Nova Scotia,Nouvelle-Écosse,Softwoods,Résineux,Federal land,Terres fédérales,,u,,u
1991,1991,NS,Nova Scotia,Nouvelle-Écosse,Unspecified,Indéterminée,Federal land,Terres fédérales,,u,,u
1991,1991,NS,Nova Scotia,Nouvelle-Écosse,Unspecified,Indéterminée,Federal land,Terres fédérales,25000,E,25000,E
1991,1991,NT,Northwest Territories,Territoires du Nord-Ouest,Hardwoods,Feuillus,Federal land,Terres fédérales,,n,,n
1991,1991,NT,Northwest Territories,Territoires du Nord-Ouest,Softwoods,Résineux,Federal land,Terres fédérales,,n,,n
1991,1991,NT,Northwest Territories,Territoires du Nord-Ouest,Unspecified,Indéterminée,Federal land,Terres fédérales,,u,,u
1991,1991,NU,Nunavut,Nunavut,Hardwoods,Feuillus,Federal land,Terres fédérales,,u,,u
1991,1991,NU,Nunavut,Nunavut,Softwoods,Résineux,Federal land,Terres fédérales,,u,,u
1991,1991,NU,Nunavut,Nunavut,Unspecified,Indéterminée,Federal land,Terres fédérales,,u,,u
1991,1991,PE,Prince Edward Island,Île-du-Prince-Édouard,Hardwoods,Feuillus,Federal land,Terres fédérales,,u,,u
1991,1991,PE,Prince Edward Island,Île-du-Prince-Édouard,Softwoods,Résineux,Federal land,Terres fédérales,,u,,u
1991,1991,PE,Prince Edward Island,Île-du-Prince-Édouard,Unspecified,Indéterminée,Federal land,Terres fédérales,,u,,u
